전/월세,보증금,월세,공급면적,전용면적,층,남향
1,12000,0,71,14,3,0
1,17850,0,33,23,5,0
1,25000,0,21,18,5,0
1,17850,0,58,24,2,1
1,27300,0,33,28,6,1
0,22000,6,40,33,5,1
1,39000,0,38,28,6,0
1,39000,0,38,28,6,0
1,34200,0,31,26,6,0
1,37000,0,67,45,4,0
1,20000,0,39,35,2,1
1,27300,0,46,29,5,0
1,33000,0,30,25,6,0
1,20000,0,36,36,2,0
1,8000,0,24,24,2,1
1,55000,0,24,20,4,0
1,34000,0,31,25,6,0
1,32000,0,34,29,5,0
1,27300,0,35,29,5,0
1,34000,0,38,29,6,0
1,33000,0,40,29,6,1
1,31970,0,40,29,6,0
1,28000,0,37,29,6,0
1,8000,0,26,23,2,1
0,1000,40,42,39,3,0
1,18000,0,31,31,3,0
0,0,95,38,16,13,0
1,27000,0,43,32,4,0
1,8000,0,30,24,3,0
1,19000,0,36,36,4,0
1,25500,0,34,29,4,0
1,22000,0,46,42,2,0
1,34000,0,30,25,6,0
0,1000,50,25,23,3,0
0,2000,61,23,23,4,1
1,30000,0,35,29,5,0
1,9000,0,24,23,2,0
1,34000,0,30,25,6,0
1,33000,0,30,25,6,0
1,30000,0,35,29,5,1
1,30000,0,34,29,5,1
0,17850,30,33,23,5,0
1,22950,0,33,23,5,0
1,22950,0,33,23,5,0
1,29000,0,34,29,6,0
0,17850,30,33,23,5,0
1,30000,0,29,29,5,1
1,37000,0,67,45,4,1
1,34000,0,31,26,6,0
1,22000,0,36,36,2,0
1,27000,0,33,29,6,0
1,30000,0,35,29,5,0
1,34200,0,31,26,6,0
1,30000,0,35,29,5,0
1,31000,0,30,24,5,0
1,31000,0,26,26,6,0
1,28000,0,37,29,6,0
1,33000,0,42,35,6,1
0,0,30,15,15,2,0
1,20000,0,39,35,2,1
1,30000,0,34,29,5,0
1,16000,0,29,17,9,0
1,31000,0,49,26,6,1
1,35000,0,55,49,3,0
0,1000,40,33,33,3,1
1,16500,0,29,17,9,0
1,25500,0,34,29,4,0
1,20000,0,36,36,2,0
1,25500,0,34,29,4,0
1,20000,0,36,36,2,0
1,35000,0,31,26,6,0
1,39000,0,28,28,6,0
1,13000,0,40,40,2,0
0,1000,55,50,33,3,0
1,14000,0,20,19,2,0
1,25500,0,34,29,4,0
1,36500,0,36,29,5,0
1,13000,0,71,21,3,0
1,20000,0,24,20,4,0
0,2000,35,32,32,2,0
1,27000,0,35,29,6,0
1,26950,0,29,23,5,0
0,2500,30,9,9,3,0
0,1000,52,30,18,3,0
1,39000,0,38,28,6,0
1,34500,0,108,29,6,0
1,27000,0,35,30,6,0
1,35000,0,31,26,6,0
1,37000,0,67,45,4,1
1,27000,0,29,29,6,0
1,39000,0,81,28,6,0
1,13000,0,50,16,3,0
1,31000,0,32,26,6,1
0,15000,45,171,39,3,1
1,37000,0,67,45,4,1
1,27300,0,46,28,6,0
1,33000,0,30,25,6,0
1,30000,0,30,26,5,0
1,12000,0,50,14,3,0
1,39000,0,38,28,6,0
1,27300,0,35,29,5,0
1,27300,0,35,29,5,0
0,20000,25,29,29,4,1
1,30000,0,34,29,5,0
1,20000,0,24,24,4,0
1,18000,0,29,29,2,0
1,8000,0,24,24,2,1
1,16000,0,29,17,9,0
1,36000,0,36,26,6,0
1,35000,0,31,26,6,0
1,33000,0,30,25,6,1
1,32500,0,34,23,6,0
1,39000,0,49,28,6,0
1,25000,0,59,18,5,0
1,30000,0,34,29,5,0
1,13000,0,33,33,2,0
1,27800,0,35,29,5,1
1,35000,0,39,29,6,0
1,27800,0,35,29,5,0
1,39000,0,45,28,6,0
1,34000,0,30,25,6,0
1,34000,0,35,25,6,0
1,20000,0,24,20,4,0
0,15000,25,24,20,4,0
0,1000,53,18,18,4,1
0,0,35,26,26,3,0
0,5000,50,40,40,3,0
1,36000,0,39,25,6,0
1,28000,0,37,29,6,0
1,22950,0,33,23,5,0
1,33000,0,39,29,5,0
1,22950,0,33,23,5,0
1,35000,0,39,29,6,0
0,20000,20,29,25,4,0
1,22000,0,44,39,4,0
1,17850,0,29,24,2,0
1,22000,0,40,40,2,0
1,35000,0,39,29,6,0
1,29000,0,34,29,6,0
1,25000,0,29,25,4,0
0,15000,45,171,50,3,1
1,24000,0,29,25,4,0
0,0,30,20,18,2,0
1,18000,0,29,29,2,0
0,14500,10,53,23,15,0
1,27300,0,32,28,6,1
1,35000,0,39,29,6,0
1,35000,0,45,29,6,0
0,5000,15,50,16,3,0
0,2000,30,32,30,2,0
1,18000,0,30,29,2,0
1,29000,0,43,32,4,0
0,0,35,25,25,2,0
1,12000,0,71,16,3,0
1,12000,0,71,16,3,0
1,32500,0,34,23,6,0
0,0,27,24,23,3,1
0,1000,40,33,32,3,0
1,33000,0,32,26,6,1
1,35400,0,39,29,6,0
1,37000,0,67,45,4,0
1,32500,0,34,23,6,0
0,3000,25,50,16,3,0
1,34000,0,30,25,6,0
0,0,30,50,22,3,0
1,33000,0,32,26,5,1
1,18900,0,39,29,5,0
1,27300,0,35,29,5,1
1,34000,0,30,25,6,1
1,33000,0,30,25,5,0
1,35000,0,35,29,6,1
0,5000,15,50,16,3,0
1,19000,0,74,39,4,0
1,37000,0,60,45,4,0
1,33000,0,30,25,6,0
1,13000,0,40,28,4,0
1,14000,0,35,26,7,0
0,20000,20,28,28,4,0
1,20000,0,22,20,4,1
1,30000,0,34,29,6,0
1,20000,0,39,35,2,1
1,25000,0,21,18,5,0
1,16000,0,29,17,9,0
1,36000,0,67,45,5,0
1,18000,0,29,29,2,0
1,17850,0,33,23,5,0
1,35000,0,32,27,6,0
1,32500,0,34,23,6,0
1,17850,0,23,23,5,0
1,31000,0,32,26,6,0
1,25000,0,59,18,5,0
1,16000,0,50,17,9,0
1,31000,0,32,26,6,1
1,27300,0,31,25,5,0
1,30000,0,42,34,5,0
1,39000,0,38,28,6,0
1,32000,0,38,29,4,1
1,33000,0,39,29,6,0
1,34000,0,30,25,6,0
1,37000,0,60,49,5,0
1,39000,0,38,28,6,0
1,26000,0,34,20,15,0
1,39000,0,59,28,6,0
1,33000,0,38,25,6,0
1,35000,0,31,26,6,0
1,16000,0,29,17,9,0
1,34000,0,30,25,6,0
1,27000,0,31,25,5,0
1,32500,0,34,23,6,0
1,33000,0,45,26,6,0
1,37000,0,60,45,4,0
1,34000,0,40,25,6,0
0,0,30,19,13,3,0
1,30000,0,35,30,6,0
1,35000,0,30,25,6,0
1,25000,0,21,18,5,0
1,33000,0,30,25,6,0
0,5000,55,20,19,5,0
1,16000,0,41,36,2,0
1,20000,0,36,36,2,0
1,39000,0,38,28,6,0
0,1000,50,50,23,3,0
1,35000,0,30,25,6,0
1,34200,0,31,26,6,0
0,16000,10,41,18,12,0
1,36000,0,31,26,6,0
0,2000,57,40,20,5,1
1,45000,0,49,29,5,0
1,33000,0,39,29,6,0
1,35000,0,49,25,6,0
1,12000,0,69,13,3,0
1,27800,0,35,29,5,0
1,39000,0,49,28,6,0
1,25000,0,21,18,5,1
1,20000,0,39,35,2,0
1,15000,0,71,16,3,0
1,16000,0,29,17,9,0
0,10000,40,29,29,3,0
1,35000,0,31,26,6,0
0,14000,45,170,39,3,0
1,37500,0,36,29,5,0
1,13200,0,19,14,5,0
1,35000,0,30,25,6,0
1,24000,0,42,42,3,0
1,39000,0,38,28,6,0
1,13650,0,45,45,3,0
1,19000,0,39,36,4,1
1,26000,0,34,20,15,0
0,10000,110,66,39,15,0
1,19000,0,36,29,2,0
